State,agi_stub,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
PA,5,858100,304280,453180,83040,479340,1851030,540290,52859041,858100,53490714,748940,40514856,364750,377430,221040,659642,199620,442623,121730,30683,112640,1311199,145770,258053,115330,1435014,226030,4708156,7150,109910,791132,185360,2717317,39280,361763,259360,631673,31190,7513,3010,25656,22330,133346,27710,113132,128620,127455,12420,27872,2350,8943,358620,6012797,318930,955874,35510,33862,320650,1112950,357870,2142300,283350,1853519,277320,672945,854380,34918461,851870,4946063,920,1605,350060,493267,49210,4214,37690,19312,76220,107107,43890,7239,217350,338134,30730,11365,84560,206243,848980,6417770,300,9,210,6,28790,38078,57830,58633,819990,4452822,829390,4699397,153130,299651,682360,1961876
PA,6,549840,104420,410900,27960,313960,1381820,421280,47543947,549840,48059247,488240,36376388,288500,322087,184160,640140,167850,450117,122270,33822,83370,1172985,123810,338466,85810,1433091,159680,4137488,4810,64470,482569,120690,2341783,34880,422799,178470,515300,31230,7941,3470,34570,16410,109671,20510,90211,79680,92255,5050,10939,2210,8567,320270,6124370,295450,1201805,22820,26041,298340,1176626,319960,2437228,268680,1976761,264720,712869,548650,33598689,547590,4940930,2240,3842,259610,422820,45280,5176,36510,19655,65960,96916,0,0,167220,282076,24910,10223,63400,180735,545740,6007712,0,0,0,0,3280,4655,48820,50798,543290,4518111,544730,4738636,107910,279453,425020,1490777
PA,7,665050,71130,571960,17450,387000,1873560,636870,88558821,665050,89647017,603390,68124747,429810,611642,304610,1513198,282530,1123546,220320,87018,119770,2818737,224970,1201487,107920,2739934,187540,6426171,5870,54040,433540,123690,2760984,74990,1786544,258910,1088195,54060,14341,12000,180538,30660,250385,24260,123210,90500,96515,23300,50246,5440,28460,537160,14172553,512610,3226444,22960,32889,513120,2588601,536920,5910441,458810,3974668,479610,1639350,664310,67021515,663550,11733067,20560,43817,337290,448680,92580,21945,65000,36086,83130,131118,0,0,155860,213687,35320,17788,96150,387147,661260,12985064,0,0,0,0,690,1032,77350,82401,662220,11284387,662810,11753800,197500,854886,437470,1900200
PA,8,164580,15330,144720,3510,116060,492700,183500,47007345,164580,47868461,148370,32602190,135380,437528,115360,1439422,110460,1137260,49990,52950,41250,2479342,103360,1919717,29210,1356541,38520,1683648,2110,6450,58635,27210,677268,49700,3887544,61300,861116,6650,1653,11860,297971,19980,215861,3530,31249,0,0,0,0,5080,57318,158490,6453743,154970,2047795,3320,7416,151350,1217091,158450,3306168,125220,1568775,148750,985712,164430,38623781,164420,9483350,117670,638998,73430,89085,52770,51224,15790,8471,0,0,0,0,80,72,7570,7172,40430,277511,163470,9447999,0,0,0,0,0,0,0,0,164320,9394266,164390,9706787,79900,1024172,64330,475188
PA,9,26920,2490,23660,540,22940,83010,32490,18112399,26920,18483041,23540,10300108,25230,228327,22850,798021,22210,650595,7740,26340,7760,837791,22530,1571878,4970,402686,5150,253312,460,510,4703,4370,116803,15150,3370116,13830,370643,420,101,3560,140798,5990,77284,610,5711,0,0,0,0,2130,54320,26570,2092844,26230,784187,300,1008,25530,324124,26560,1133443,18860,332421,25490,416340,26890,15689231,26910,4530817,18400,206606,16700,62358,14240,46111,1600,938,0,0,0,0,0,0,910,2239,9530,97972,26770,4398962,0,0,0,0,0,0,0,0,26890,4468459,26900,4572594,13950,517718,6610,134871
PA,10,13280,1380,11450,270,12080,39790,15080,42454558,13280,42977828,11290,12602362,12950,1316066,12170,4122862,11920,3732744,6200,101232,3850,783998,12270,13077650,2840,654447,2740,234740,230,140,2737,2540,75274,9640,8473750,7950,523271,100,25,1740,85253,3770,52128,310,2895,0,0,0,0,2200,273362,13150,4003465,13000,1515838,130,1267,12670,267562,13140,1803299,7850,161261,12740,1464650,13260,38319032,13270,10147416,3040,147942,9750,256315,8780,207530,380,250,0,0,0,0,0,0,390,3217,5150,100377,13230,10175254,0,0,0,0,0,0,0,0,13250,9891102,13260,10007329,6010,1041860,2740,230720
RI,0,512930,264580,172880,66150,308660,921000,274980,30401656,511730,30852378,429290,21448672,183420,334442,105450,725343,96950,564918,122580,113353,70940,1088654,78800,1518103,50550,726555,95880,2188530,720,60950,463141,64980,833865,27530,1604571,128580,450717,16620,4262,3860,71000,13970,113937,9800,44526,43190,43234,7260,16406,1730,29503,178630,4375354,166390,1050601,10420,9598,164070,829005,178240,2012899,143050,1225518,148770,469371,397660,21074609,394830,3961954,14400,109313,151450,179496,27220,23919,18460,9706,35330,39561,22500,3938,72670,85768,10820,3637,59530,148612,487780,4887631,84090,181446,72960,160394,54020,62890,31620,29422,361040,3782460,385320,3955122,77550,324358,408350,1079135
RI,1,6210,4240,1490,290,4390,8300,1300,-380431,5010,-374207,1680,42200,2270,8968,1870,9983,1720,6632,280,437,1880,-13519,2360,20349,500,5983,690,6859,50,210,1716,10,22,1150,-99094,1520,6224,20,5,10,69,420,2726,40,140,270,328,320,1109,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,410,10,410,20,44,0,0,0,0,0,3,0,0,0,11,0,0,840,1460,2810,9889,800,746,510,514,260,351,350,337,10,366,960,2075,530,738,2300,7491
RI,2,82750,69890,5130,6800,43430,72830,16030,423192,82750,436936,62820,318354,15260,7955,8350,10050,7510,6356,1130,477,9740,45809,6030,-2926,4150,14249,7350,30924,50,5310,20938,190,856,880,-1465,11730,13745,130,28,20,60,840,3325,180,586,1710,1573,1300,3771,20,18,3510,54661,1140,2392,1850,797,2700,10961,3390,15105,1940,12782,1940,1749,11330,19229,10620,1892,0,3,600,50,340,15,0,0,180,31,30,3,0,0,0,0,8680,6312,71370,62364,23720,26808,20890,23519,7550,4926,3040,2570,10380,1842,19430,8431,5950,2483,67370,56041
RI,3,115380,73380,14900,25190,67240,181330,58490,1967322,115380,2000466,91880,1445362,23260,19784,11410,25753,10190,16827,4460,2172,14730,146795,7440,2195,9000,55090,17020,170171,100,18590,123481,7340,12569,1940,2541,21920,33144,720,159,100,609,1620,7699,830,2678,6800,6589,900,1964,50,37,10630,161045,6520,7029,3530,1968,8640,33565,10520,46189,6430,41652,7020,8985,81660,541571,80530,57474,20,57,23970,8857,1320,63,1360,425,7520,4378,7110,1191,7860,2701,320,60,13230,19760,108780,315120,38470,116986,34490,105516,28510,35176,6920,5774,65120,48617,74850,69415,9690,9257,101740,254027
RI,4,119380,67950,26910,21510,69620,206220,60380,4314183,119380,4372673,104370,3461194,33500,28317,16540,41143,14980,28112,18870,10149,12120,138624,11230,9628,10130,86692,20490,327190,120,16490,145701,18630,117859,3390,19538,27350,58490,2240,530,280,2205,2290,13980,2420,9078,13530,14136,1040,2067,100,132,29380,451366,26290,46166,2710,2671,24920,92914,29280,154808,21490,142250,21570,32366,116080,2391740,115440,299098,20,71,43310,37295,3800,723,4040,2203,9580,9467,12610,2279,23240,21986,1770,403,9760,20773,117050,519777,21090,36905,17060,30845,15450,19801,6460,5611,99850,261803,103500,285614,14440,21565,102890,252211
RI,5,69710,29660,30850,7540,43830,139000,38480,4299069,69710,4350157,60720,3304064,31380,30531,16410,47701,14960,33282,27350,17337,9340,111359,11440,18500,8570,100074,17210,421885,110,8760,72810,14720,206810,3530,25496,21020,51083,3760,928,350,3305,1710,12265,2040,8884,9040,8338,1210,2393,140,309,35970,630868,34620,95875,1180,1809,33010,132073,35940,250566,29160,216663,29100,49071,69290,2832780,69080,409355,70,161,26400,35181,4060,347,2930,1494,5960,7754,2750,466,16010,23929,2450,625,7140,16385,68960,533875,20,1,20,1,1990,2317,4480,4369,66940,374174,67680,394214,12830,26033,55250,160875
RI,6,44480,10610,30330,2790,28970,105870,31090,3847817,44480,3889445,39560,2938172,24730,27591,14150,46639,12980,32386,24840,18850,7260,98683,9990,22716,6450,98157,12400,369083,100,5620,45730,9970,184578,3240,37188,13880,41627,2760,710,350,3613,1390,10675,1560,7356,4960,5431,400,845,170,435,31050,625849,30450,118818,500,912,29400,130159,31040,270493,26640,217729,26580,51257,44360,2676995,44270,402302,190,248,20180,30725,3790,429,2910,1541,5060,7044,0,0,12600,20353,2080,514,5690,14478,44170,492549,0,0,0,0,220,238,3790,3831,43990,371576,44090,389396,9080,23546,34090,121949
RI,7,59150,7130,49630,1680,38660,161830,53080,7899407,59150,7998765,54030,6069517,39410,56966,25600,120395,23900,89913,40300,35971,11510,242409,19750,105637,8920,205767,16930,671684,140,5360,46281,11270,239205,7000,154198,23750,99358,6150,1686,1230,17697,2860,26260,2350,12483,6880,6839,2090,4255,440,1871,52430,1326543,51880,329289,480,1018,50430,273806,52410,646724,45190,425498,47690,122080,59090,5885265,59020,1032959,2290,5002,29280,36619,8120,1788,5980,3352,7030,10884,0,0,12950,16785,3480,1047,9370,32512,58860,1146450,0,0,0,0,60,80,6590,6932,58920,996341,58970,1036246,17620,72983,39000,167368
RI,8,13020,1370,11230,310,9910,37320,13080,3671229,13020,3754232,11790,2465322,10870,41586,8660,118444,8290,94356,4240,8193,3570,216509,8070,185359,2300,98350,3220,158822,40,560,5749,2310,57806,4450,350242,5640,83003,800,205,1140,28942,1980,24745,300,2627,0,0,0,0,430,4137,12840,573756,12690,201799,130,364,12250,106610,12830,321931,10280,133408,12120,65355,13010,2953841,13010,728830,10010,62015,5750,7393,4110,4119,1120,618,0,0,0,0,0,3,660,438,3680,23856,12960,732359,0,0,0,0,0,0,0,0,13000,721437,13000,748344,6090,80175,5100,37125
RI,9,1900,210,1640,40,1720,5610,2070,1287500,1900,1317307,1650,684788,1810,21765,1600,64624,1560,52624,600,4743,540,55920,1630,133312,340,22993,370,18402,10,60,578,350,8913,1210,271109,1140,29807,40,10,280,9894,550,7781,50,489,0,0,0,0,170,4011,1890,171018,1870,74146,20,39,1810,25897,1890,106296,1360,23434,1840,27410,1900,1091456,1900,315922,1490,19481,1210,4886,1030,2776,100,61,0,0,0,0,0,0,60,471,750,6676,1900,309509,0,0,0,0,0,0,0,0,1900,311036,1900,318289,950,35161,430,7673
RI,10,940,130,770,20,900,2690,970,3072369,940,3106605,790,719700,930,90980,860,240611,860,204431,510,15024,240,46064,880,1023332,200,39200,190,13510,0,20,155,200,5248,750,844817,630,34236,10,1,100,4606,320,4480,20,205,0,0,0,0,210,18531,940,380247,920,175088,10,21,910,23019,940,200787,580,12101,920,111098,940,2681732,940,713712,300,21865,730,18446,650,13660,20,12,0,0,0,0,0,0,20,80,370,6401,940,765741,0,0,0,0,0,0,0,0,940,695266,940,703098,360,52417,190,14376
SC,0,2077310,862440,762140,393110,1186980,4175560,1457360,103453955,2071930,104874903,1734820,73215188,545460,893667,336340,2466499,305820,1957041,411010,571320,316580,2926952,268850,4429727,194830,3380064,442480,9429318,21330,143210,719302,278850,3566739,107380,4700501,482270,1420947,53270,13468,7510,151646,42700,271875,30140,126440,142750,142848,23490,59907,5290,76839,604020,14735432,520010,3217573,72630,72433,537560,1037342,601470,4623607,478750,3926741,515610,2717067,1506030,67461378,1494920,11997174,35110,236402,627720,719612,79430,70467,98870,53455,127570,134851,123200,21286,340310,387569,32020,13084,238350,514723,1975070,15010487,507210,1222899,455880,1101758,363960,478959,132270,119057,1301910,11277603,1435910,11891233,367050,1457714,1615850,4247794
SC,1,28320,16000,9680,1220,19870,43160,7300,-2165488,22940,-2135578,7210,204517,9610,40818,7250,41997,6650,29163,1240,2741,11580,-294657,9840,79078,2340,41956,3670,47723,1360,490,3046,80,332,6130,-349252,6540,29910,110,27,40,355,1620,8862,160,713,940,1116,990,3534,20,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1440,80,1420,80,105,10,0,0,0,10,8,10,14,30,26,0,0,3750,7624,12800,46687,2880,3221,1890,2236,1340,2099,2260,2122,80,1359,4490,10220,2550,4712,10810,36333
